epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1818.99,1.83138,1.99929,1.63801,0.29036,0.29805,0.23828,0.08882,2.37164,2.84006,2.21469,0.004555,0.004555,0.004555
57,1851.53,1.81425,1.93016,1.62737,0.34116,0.27954,0.23632,0.08689,2.37274,2.74767,2.24447,0.004456,0.004456,0.004456
58,1884.46,1.78471,1.90376,1.60231,0.37927,0.29643,0.26324,0.09412,2.41561,2.75975,2.23889,0.004357,0.004357,0.004357
59,1917.07,1.79645,1.92375,1.6082,0.3492,0.32262,0.28606,0.09543,2.45975,2.71095,2.30092,0.004258,0.004258,0.004258
60,1949.61,1.75526,1.85795,1.59391,0.36125,0.26119,0.24167,0.08528,2.34465,2.79389,2.2494,0.004159,0.004159,0.004159
61,1982.09,1.80253,1.90989,1.61256,0.36315,0.23578,0.2239,0.07249,2.44018,2.82845,2.27986,0.00406,0.00406,0.00406
62,2014.85,1.74727,1.85465,1.58316,0.32345,0.29654,0.22557,0.07686,2.43837,2.87071,2.28203,0.003961,0.003961,0.003961
63,2048.26,1.74101,1.82207,1.56718,0.30993,0.27903,0.23375,0.0763,2.42508,2.92724,2.29247,0.003862,0.003862,0.003862
64,2080.65,1.73846,1.8307,1.58122,0.31071,0.28387,0.23923,0.0796,2.47625,2.83456,2.35582,0.003763,0.003763,0.003763
65,2113.12,1.7363,1.80613,1.55942,0.40581,0.24728,0.2493,0.08459,2.39607,2.88241,2.21864,0.003664,0.003664,0.003664
66,2145.74,1.70529,1.76155,1.54657,0.30478,0.28719,0.22767,0.0758,2.48956,2.84139,2.33896,0.003565,0.003565,0.003565
67,2178.57,1.71523,1.77217,1.54687,0.4105,0.28401,0.25054,0.08285,2.45813,2.81823,2.33563,0.003466,0.003466,0.003466
68,2211.01,1.70714,1.71279,1.54548,0.33125,0.31101,0.25342,0.08554,2.44756,2.90452,2.3354,0.003367,0.003367,0.003367
69,2243.35,1.70784,1.76585,1.55684,0.36446,0.25383,0.25545,0.08725,2.47059,2.79314,2.33762,0.003268,0.003268,0.003268
70,2275.71,1.71038,1.72413,1.54573,0.35715,0.29919,0.24415,0.08348,2.50007,2.85394,2.35694,0.003169,0.003169,0.003169
71,2308.31,1.68043,1.69168,1.5365,0.37394,0.24896,0.24515,0.07992,2.50978,2.96699,2.33558,0.00307,0.00307,0.00307
72,2341.06,1.67972,1.68415,1.53288,0.38029,0.27523,0.24527,0.08261,2.46247,2.86374,2.2755,0.002971,0.002971,0.002971
73,2373.62,1.65421,1.61915,1.4997,0.37211,0.2997,0.25406,0.08649,2.50179,2.92781,2.37366,0.002872,0.002872,0.002872
