epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2153.54,0.99675,0.4821,1.31741,0.94277,0.85892,0.92217,0.46306,1.91753,0.96284,2.32536,0.000275747,0.000275747,0.000275747
64,2187.76,0.96808,0.47258,1.31077,0.94178,0.88273,0.9198,0.46048,1.94081,0.93632,2.34212,0.000268678,0.000268678,0.000268678
65,2221.95,0.96874,0.46721,1.28607,0.92843,0.84413,0.91294,0.47375,1.91006,0.94367,2.31635,0.00026161,0.00026161,0.00026161
66,2256.06,0.96512,0.45382,1.28626,0.94566,0.877,0.92175,0.46591,1.90211,0.92987,2.25005,0.000254541,0.000254541,0.000254541
67,2290.34,0.95724,0.45026,1.29161,0.94029,0.87003,0.9229,0.46898,1.9005,0.98748,2.25321,0.000247472,0.000247472,0.000247472
68,2324.53,0.96686,0.46541,1.29577,0.90744,0.8787,0.91559,0.47112,1.93682,0.9465,2.35179,0.000240404,0.000240404,0.000240404
69,2358.68,0.92787,0.43917,1.26634,0.91482,0.87153,0.92633,0.47158,1.92077,0.97432,2.3292,0.000233335,0.000233335,0.000233335
70,2392.87,0.94215,0.45687,1.26673,0.92358,0.86894,0.9336,0.45897,1.89267,0.97611,2.33569,0.000226267,0.000226267,0.000226267
71,2427.16,0.91686,0.44447,1.26719,0.92913,0.88001,0.9272,0.44864,1.89351,0.90773,2.30153,0.000219198,0.000219198,0.000219198
72,2461.46,0.90918,0.43507,1.23985,0.90799,0.8889,0.92299,0.46103,1.91377,0.88677,2.36281,0.000212129,0.000212129,0.000212129
73,2495.66,0.91445,0.42897,1.24729,0.95199,0.87398,0.91338,0.46294,1.92445,0.90976,2.36578,0.000205061,0.000205061,0.000205061
74,2529.9,0.8965,0.4197,1.23896,0.90857,0.87034,0.91079,0.46279,1.90093,0.97569,2.31106,0.000197992,0.000197992,0.000197992
75,2564.11,0.91428,0.42387,1.2358,0.95586,0.88176,0.92485,0.45427,1.94534,0.9097,2.41752,0.000190924,0.000190924,0.000190924
76,2598.21,0.86585,0.41073,1.21257,0.93882,0.89318,0.927,0.47747,1.89419,0.92664,2.33949,0.000183855,0.000183855,0.000183855
77,2632.24,0.8844,0.41517,1.21321,0.93013,0.87032,0.91799,0.47735,1.92159,0.88173,2.35594,0.000176786,0.000176786,0.000176786
78,2666.36,0.88263,0.4244,1.22994,0.94608,0.8835,0.92788,0.48127,1.89754,0.87634,2.38784,0.000169718,0.000169718,0.000169718
79,2700.43,0.87957,0.41332,1.22719,0.93969,0.87416,0.91617,0.47768,1.8861,0.86826,2.32407,0.000162649,0.000162649,0.000162649
80,2734.63,0.8503,0.40976,1.19287,0.95584,0.8908,0.91975,0.46091,1.92178,0.84285,2.40139,0.000155581,0.000155581,0.000155581
81,2768.85,0.81643,0.39772,1.18854,0.94607,0.89631,0.93421,0.47206,1.90477,0.87068,2.37528,0.000148512,0.000148512,0.000148512
82,2802.94,0.81838,0.39865,1.18379,0.94662,0.89113,0.92247,0.47048,1.93235,0.90393,2.45421,0.000141443,0.000141443,0.000141443
83,2837.07,0.8314,0.40269,1.19687,0.93354,0.88113,0.91768,0.44861,1.96459,0.91325,2.50888,0.000134375,0.000134375,0.000134375
